"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"METRO_2013",7,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2013 metropolitan area type","HOUSEHOLD","Character","NA","Coming soon","1: Metro: central city||2: Metro: non-central city||3: Micropolitan area||4: Non-micropolitan area","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item uses Office of Management and Budget (OMB) definitions for 2013 metro areas and their principal cities. More information on these definitions can be found at https://www.census.gov/programs-surveys/metro-micro.html."
"PUMA_2010",10,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2010 Census Public Use Microdata Area code","HOUSEHOLD","Character","NA","Coming soon","00100 : 70301: 00100 to 70301","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item uses the Census defined 2010 Public Use Microdata Areas (PUMAs), which are geographic units comprised of Census tracts covering areas with populations greater than 100,000. More information on these definitions can be found at https://www.census.gov/geographies/reference-files/time-series/geo/relationship-files.html."
"RUCA_2010",11,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2010 Rural-Urban Commuting Areas code","HOUSEHOLD","Numeric","NA","Coming soon","1: Metropolitan area core: primary flow within an Urbanized Area (UA)||2: Metropolitan area high commuting: primary flow 30% or more to a UA||3: Metropolitan area low commuting: primary flow 10% to 30% to a UA||4: Metropolitan area core: primary flow within an Urban Cluster of 10,000 to 49,999 (large UC)||5: Metropolitan high commuting: primary flow 30% or more to a large UC||6: Metropolitan low commuting: primary flow 10% to 30% to a large UC||7: Small town core: primary flow within an Urban Cluster of 2,500 to 9,999 (small UC)||8: Small town high commuting: primary flow 30% or more to a small UC||9: Small town low commuting: primary flow 10% to 30% to a small UC||10: Rural areas: primary flow to a tract outside a UA or UC||99: Not coded: Census tract has zero population and no rural-urban identifier information","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item uses Rural-Urban Commuting Area codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-commuting-area-codes.aspx."
"RUCC_2013",12,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2013 Rural-Urban Continuum Codes","HOUSEHOLD","Numeric","NA","Coming soon","1: Counties in metro areas of 1 million population or more||2: Counties in metro areas of 250,000 to 1 million population||3: Counties in metro areas of fewer than 250,000 population||4: Urban population of 20,000 or more, adjacent to a metro area||5: Urban population of 20,000 or more, not adjacent to a metro area||6: Urban population of 2,500 to 19,999, adjacent to a metro area||7: Urban population of 2,500 to 19,999, not adjacent to a metro area||8: Completely rural or less than 2,500 urban population, adjacent to a metro area||9: Completely rural or less than 2,500 urban population, not adjacent to a metro area","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item uses Rural-Urban Continuum Codes defined by the Department of Agriculture. More information on these definitions can be found at http://www.ers.usda.gov/data-products/rural-urban-continuum-codes.aspx."
"STATE",13,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2015 National, 2015 Metro","IUF Only","State FIPS code","HOUSEHOLD","Character","NA","Coming soon","01: Alabama||02: Alaska||04: Arizona||05: Arkansas||06: California||08: Colorado||09: Connecticut||10: Delaware||11: District of Columbia||12: Florida||13: Georgia||15: Hawaii||16: Idaho||17: Illinois||18: Indiana||19: Iowa||20: Kansas||21: Kentucky||22: Louisiana||23: Maine||24: Maryland||25: Massachusetts||26: Michigan||27: Minnesota||28: Mississippi||29: Missouri||30: Montana||31: Nebraska||32: Nevada||33: New Hampshire||34: New Jersey||35: New Mexico||36: New York||37: North Carolina||38: North Dakota||39: Ohio||40: Oklahoma||41: Oregon||42: Pennsylvania||44: Rhode Island||45: South Carolina||46: South Dakota||47: Tennessee||48: Texas||49: Utah||50: Vermont||51: Virginia||53: Washington||54: West Virginia||55: Wisconsin||56: Wyoming||99: Suppressed","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","These values adhere to the Federal Information Processing Standards (FIPS) two digit state codes. More information on these codes can be found at https://www.census.gov/programs-surveys/popest/geographies/reference-files.html."
"TRACT_2010",14,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2010 Census tract code","HOUSEHOLD","Character","NA","Coming soon","000100 : 999999: 000100 to 999999","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","TRACT uses the tract boundary definitions from the 2010 Census and should be used when matching to 2010 decennial tract level files."
"TRACT_2021",15,"Admin",1,"Geography",2,"2021 National, 2021 Metro","IUF Only","2021 Census tract code","HOUSEHOLD","Character","NA","Coming soon","000100 : 999999: 000100 to 999999","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","TRACT_2021 incorporates tract re-numbering that took place between 2015 and 2021 and should be used to match to tract estimates from other surveys of 2021 data (the most common example being the 2021 ACS tract level estimates)."
"URBAN_2010",16,"Admin",1,"Geography",2,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","2010 urban area type","HOUSEHOLD","Character","NA","Coming soon","1: Urbanized Area||2: Urban Cluster||3: Rural","NA","NA","Withheld","INTSTATUS in ('1' '2' '3')","This item refers to Census defined 2010 urban areas. More information on these definitions can be found at https://www.census.gov/programs-surveys/geography/about/faq/2010-urban-area-faq.html."
"COMPLEX",1,"Occupancy and Tenure",2,"Tenure",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Flag indicating this building is part of an apartment complex","HOUSEHOLD","Character","JCOMPLEX","Coming soon","1: Yes||2: No||M or -9: Not reported||N or -6: Not applicable","Some apartment buildings are part of a complex of multiple apartment buildings. Is this building part of a complex?","COMPLEX","Withheld","INTSTATUS = '1' and BLD in ('04' '05' '06' '07' '08' '09')",
"CONDO",2,"Occupancy and Tenure",2,"Tenure",1,"2021 National, 2021 Metro, 2019 National, 2019 Metro","PUF","Flag indicating unit is a condominium","HOUSEHOLD","Character","JCONDO","Coming soon","1: Yes||2: No","Is this unit part of a condominium?","CONDO1","None","INTSTATUS in ('1' '2' '3')","The coding for this variable changed in 2015. It is now simply a flag indicating if the unit is a condo. The variable COOP now captures the same information for cooperatives."
