,AIANNHCE,AIANNHNS,GEOID_left,NAME_left,NAMELSAD_left,LSAD,CLASSFP,COMPTYP,AIANNHR,MTFCC_left,FUNCSTAT_left,ALAND_left,AWATER_left,INTPTLAT_left,INTPTLON_left,geometry,index_right,STATEFP,COUNTYFP,TRACTCE,GEOID_right,NAME_right,NAMELSAD_right,MTFCC_right,FUNCSTAT_right,ALAND_right,AWATER_right,INTPTLAT_right,INTPTLON_right,Labels
0,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9320004.828922482 4213682.8641616395, -9320004.272061726 4213806.951502799, -9320004.160679348 4213836.574319975, -9320003.715188768 4213936.773748101, -9320002.490136579 4214190.279639746, -9320000.930919513 4214540.992882476, -9319918.109340014 4214539.491246581, -9319357.28257031 4214528.843263575, -9319312.977478104 4214528.024189511, -9319255.759343732 4214527.068608489, -9319256.09346428 4214451.1640752945, -9319261.216259051 4213468.001884973, -9319622.002177244 4213481.379157203, -9319757.58910978 4213486.429764863, -9319969.54109569 4213494.619952155, -9320005.831194786 4213495.711969745, -9320004.828922482 4213682.8641616395))",434,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853,2458723,+35.3117331,-083.7276987,2
1,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9326389.250568815 4205954.525767813, -9326387.135213753 4206087.93882581, -9326382.348076569 4206271.145681917, -9326176.851432338 4206262.687580722, -9325771.090181857 4206246.04423808, -9325780.664276907 4205966.665876451, -9325795.69336606 4205534.652813589, -9325999.074933821 4205541.47344897, -9326259.786280978 4205550.340277358, -9326375.336399779 4205554.296248455, -9326371.996540003 4205680.474736255, -9326368.211355252 4205828.480530932, -9326391.699836427 4205844.031512225, -9326389.250568815 4205954.525767813))",434,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853,2458723,+35.3117331,-083.7276987,2
2,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9327236.826986812 4212653.637680581, -9327019.641689627 4212670.426424309, -9326988.138130918 4212673.838791533, -9326564.899540007 4212704.276952492, -9326544.861942485 4212705.641892893, -9326462.707790958 4212712.0571320085, -9326385.229080727 4212717.243908145, -9326311.535248933 4212722.70368622, -9325793.1180664 4212761.195199008, -9325791.782271609 4212739.492105773, -9325786.439094983 4212651.451694305, -9325778.313018398 4212515.36580654, -9325759.723213017 4212210.714222846, -9325754.268718693 4212121.586117779, -9325753.378188273 4212107.39120277, -9325737.793921696 4211851.339913946, -9325731.11495398 4211739.831164029, -9325778.314628419 4211736.419106415, -9326459.704264103 4211689.059890355, -9326474.732462337 4211687.968036665, -9326704.719553798 4211671.999702595, -9327069.18120024 4211641.018358109, -9327076.417008722 4211635.968472234, -9327135.19395384 4211635.55910173, -9327174.712543266 4211635.559155789, -9327188.182259662 4211635.5591742145, -9327197.198791267 4211822.679836794, -9327197.532735977 4211830.050081054, -9327205.770010345 4212025.636325711, -9327205.54735633 4212032.460750702, -9327206.549226208 4212037.237852312, -9327207.105814235 4212042.970376083, -9327207.10579875 4212050.477255948, -9327206.883143326 4212057.984140617, -9327208.441608833 4212064.808588104, -9327208.33027338 4212072.315482688, -9327209.777418636 4212079.276428019, -9327209.666083181 4212086.783332457, -9327220.018390551 4212304.895279781, -9327230.148075446 4212514.548879691, -9327236.604356444 4212648.996809066, -9327236.826986812 4212653.637680581))",434,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853,2458723,+35.3117331,-083.7276987,2
3,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9328521.129650822 4210631.223628359, -9328506.768179625 4211211.650937814, -9327892.059330195 4211199.3670597505, -9327680.328755848 4211195.135949517, -9327683.11193206 4211109.291509584, -9327702.482823582 4210519.043784374, -9328525.026001504 4210557.529427046, -9328521.129650822 4210631.223628359))",434,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853,2458723,+35.3117331,-083.7276987,2
4,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9331633.857392646 4211244.000590162, -9331613.48475222 4211773.8240418825, -9331474.112152813 4211772.186026087, -9330524.998110192 4211760.583474051, -9330369.48411567 4211758.672467854, -9330340.652244212 4211758.262972741, -9330223.654958278 4211756.897960464, -9330234.231784657 4211060.982141904, -9330386.851453189 4211066.031980059, -9330404.551327303 4211066.577910265, -9330476.686662834 4211069.034586432, -9330823.44834538 4211080.772049842, -9331246.686843162 4211094.556783152, -9331397.525392484 4211099.470157702, -9331499.160518132 4211102.882220498, -9331552.371459892 4211104.792971154, -9331638.310469767 4211108.205014523, -9331633.857392646 4211244.000590162))",434,37,075,920200,37075920200,9202,Census Tract 9202,G5020,S,114839853,2458723,+35.3117331,-083.7276987,2
5,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9329620.532197356 4207458.043548295, -9329616.079379248 4207467.457351984, -9329611.181284627 4207475.233977025, -9329604.168107232 4207484.647792324, -9329594.149276372 4207501.019666735, -9329586.24551622 4207521.620982151, -9329576.783282677 4207539.220808636, -9329563.313533058 4207555.45632671, -9329554.964514913 4207565.415941946, -9329535.372174863 4207577.831354322, -9329525.019408498 4207582.3336462835, -9329513.219483381 4207586.426637712, -9329505.64976422 4207567.598815763, -9329504.759211203 4207564.324415736, -9329485.167061675 4207484.101921395, -9329470.250312686 4207422.434686526, -9329503.42364908 4207429.392735433, -9329550.845935313 4207439.352303232, -9329622.869923994 4207454.496320789, -9329620.532197356 4207458.043548295))",435,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135,5587640,+35.2702395,-083.9567917,3
6,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9333063.32520943 4207293.648340639, -9333053.974283762 4207317.250734959, -9333042.730907736 4207346.173969332, -9333036.608282657 4207359.271306723, -9333049.966349248 4207520.397220246, -9333040.949065536 4207699.398425822, -9332991.968093015 4207790.400861029, -9332939.64772744 4207780.71384017, -9332873.968959732 4207773.891964912, -9332845.248399092 4207778.121443458, -9332780.237517415 4207787.808320669, -9332831.444603156 4207836.652597468, -9332849.144480454 4207835.561125621, -9332875.638654564 4207825.055541009, -9332884.87821813 4207822.053949254, -9332894.006456418 4207821.644650838, -9332902.132810242 4207823.554771409, -9332911.261044905 4207824.919147459, -9332919.05343603 4207828.193633644, -9332926.289225636 4207832.286739723, -9332940.872131797 4207837.0620394815, -9332947.88527616 4207843.747446451, -9332965.47380166 4207858.2097721975, -9332961.020974148 4207872.2627789965, -9332954.230391828 4207903.643348031, -9332919.164521195 4207942.937371629, -9332941.428433193 4207982.913796922, -9332841.685628723 4208037.762075725, -9332889.664444907 4208081.968505545, -9332972.375296634 4208025.892035268, -9333002.876807906 4208104.208335589, -9332979.610888314 4208126.720924824, -9332986.178748341 4208135.589552368, -9332992.74660837 4208144.458187048, -9332991.744656624 4208179.659882012, -9332980.389955852 4208210.90487862, -9333025.251920974 4208202.309135715, -9333040.057482442 4208199.5803305255, -9333051.746017784 4208229.597438067, -9333024.361306787 4208228.915196998, -9332755.412272943 4208223.32076758, -9332663.795942025 4208221.546916973, -9332108.420658516 4208200.943603581, -9332071.685071519 4208199.579147189, -9332049.977679227 4208198.760473843, -9331987.304541396 4208196.440898276, -9331544.36241805 4208180.06743724, -9331561.171844997 4208125.627674054, -9331579.762402913 4208065.594161469, -9331655.460482808 4207821.233847846, -9331653.679375334 4207815.3670794945, -9331568.520196073 4207524.215570012, -9331612.046888242 4207239.211213407, -9331617.501643356 4207201.829665525, -9331677.837285135 4207095.142931241, -9331738.952147081 4206998.007064402, -9332010.461520746 4207012.6050040675, -9332018.031278055 4207012.877865863, -9332024.82179978 4207011.104329915, -9332032.280237403 4207011.240765097, -9332039.070758846 4207009.603655834, -9332091.391143281 4207010.012996408, -9332205.048827942 4207011.650246844, -9332228.75997959 4207012.468833359, -9332390.396562366 4207018.198935626, -9332390.062629286 4207005.10199584, -9332389.394798327 4206961.718494355, -9332389.506135616 4206953.260095983, -9332389.617469836 4206946.302386075, -9332391.62146202 4206832.66041222, -9332392.178128082 4206800.327915638, -9332394.070751958 4206710.288551441, -9332394.2934271 4206693.09930164, -9332397.522048462 4206525.982992199, -9332406.984831972 4206239.776616945, -9332417.56087522 4205924.24883023, -9332501.16215857 4205930.523924491, -9333068.003388919 4205954.124052253, -9333054.31007565 4206421.8954350585, -9333044.735957928 4206715.336947539, -9333037.83368469 4206928.022122032, -9333033.380873105 4206934.297688012, -9333030.375221109 4206940.573259251, -9333028.705407621 4206947.394538252, -9333029.707272824 4206954.488676084, -9333031.82233855 4206961.173542279, -9333037.833591456 4206973.588306972, -9333036.38632495 4207025.83958131, -9332999.094139632 4207023.793138323, -9333009.66950511 4207039.209367939, -9333026.589954717 4207129.933580463, -9333068.334683388 4207256.812323431, -9333063.32520943 4207293.648340639))",435,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135,5587640,+35.2702395,-083.9567917,3
7,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9333762.420603223 4204363.386585248, -9333680.711750215 4204361.749774135, -9333340.295301832 4204355.338911475, -9332725.252503278 4204343.881202192, -9332727.59067977 4204120.607339056, -9332728.704093646 4204015.996154155, -9332729.03813007 4203978.6255148025, -9332731.264944699 4203775.81698894, -9333773.219791446 4203800.231270791, -9333762.420603223 4204363.386585248))",435,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135,5587640,+35.2702395,-083.9567917,3
8,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9335575.939602077 4201713.576249908, -9335560.354425974 4201900.2560289325, -9335516.71593535 4202421.72159657, -9335503.802516548 4202570.092868186, -9335453.26205704 4203155.68791831, -9335419.642630484 4203546.1473342385, -9335398.157356558 4203801.187660368, -9335389.14021886 4203909.206515825, -9335368.212082194 4203900.7504336955, -9335306.763510417 4203876.064166191, -9334863.710404526 4203697.124480433, -9334901.00341656 4203293.9763424555, -9334962.342071712 4202631.050599912, -9334967.128935521 4202579.501983604, -9335004.533404494 4202109.166060707, -9335047.949291013 4201570.533985262, -9335053.849424599 4201484.628006264, -9335055.1852976 4201468.265038601, -9335571.375567423 4201672.3952988135, -9335579.16795871 4201675.531598046, -9335575.939602077 4201713.576249908))",435,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135,5587640,+35.2702395,-083.9567917,3
9,0990,01018039,0990R,Eastern Cherokee,Eastern Cherokee Reservation,86,D2,R,F,G2101,A,211483424,47477,+35.4405073,-083.3842040,"POLYGON ((-9336544.96890663 4207119.705629382, -9336529.272737997 4207145.763353808, -9336456.469230708 4207267.45783472, -9336437.210808339 4207300.746694007, -9336231.824768865 4207643.0547547, -9335414.73647405 4207507.302504487, -9335385.793291891 4207502.527330051, -9335416.740333632 4207458.18688063, -9335420.636547282 4207450.955992092, -9335567.356754826 4207211.2479175655, -9335610.103748798 4207149.445831833, -9335731.108958235 4206951.490467905, -9335750.256056514 4206920.249042905, -9335759.940883776 4206925.160367595, -9335764.17103925 4206926.797477481, -9335766.397436952 4206927.616032647, -9335778.865261206 4206933.618767872, -9335791.889688365 4206938.12082573, -9335798.123600215 4206941.258621399, -9335813.15179626 4206941.122213359, -9335820.053631535 4206942.486477506, -9335827.40074891 4206942.759337328, -9335834.191263385 4206944.532878468, -9335841.649701284 4206944.532887184, -9335875.82491637 4206952.036340001, -9335888.960663497 4206956.538405533, -9335923.024558062 4206964.314718188, -9335929.25847019 4206967.316095403, -9335936.160311582 4206965.678992506, -9335949.74134081 4206969.089656522, -9335964.769537134 4206968.816822211, -9335971.56005161 4206970.5903675575, -9335979.129809756 4206970.453950448, -9335985.92032451 4206972.091070074, -9336000.83720031 4206972.091087525, -9336021.43138534 4206976.593170003, -9336051.26513583 4206977.138909082, -9336065.514095431 4206975.365387292, -9336072.972532777 4206975.638248071, -9336086.664895313 4206972.50046589, -9336100.468576428 4206970.044814505, -9336107.927014882 4206969.771971314, -9336128.298578875 4206964.997087723, -9336149.004101101 4206961.040761639, -9336222.030032216 4206945.488311281, -9336238.060114644 4206942.077689139, -9336252.420393657 4206940.577024268, -9336259.210915077 4206938.939925178, -9336266.669353256 4206938.803508315, -9336273.459867733 4206940.577048853, -9336279.80510011 4206943.441994147, -9336286.595614864 4206945.079109778, -9336298.952118881 4206951.218280243, -9336310.752020279 4206958.721711598, -9336316.206688743 4206963.633048598, -9336321.99531878 4206967.725832556, -9336332.570694134 4206978.367072729, -9336336.68952103 4206984.233399831, -9336347.153576415 4206994.874655808, -9336350.270522758 4207001.1502695475, -9336358.619497076 4207012.610098267, -9336363.962844737 4207017.930738797, -9336368.19299188 4207023.660660456, -9336394.353130078 4207050.400341762, -9336405.81906963 4207058.858829629, -9336420.735920992 4207070.864434866, -9336426.635874609 4207073.183704565, -9336432.53582545 4207076.867247487, -9336438.769737309 4207080.005082737, -9336444.66968815 4207083.688627941, -9336457.137512423 4207089.691448335, -9336463.816706656 4207091.601440516, -9336471.38646453 4207091.6014494095, -9336478.176986229 4207089.827900494, -9336485.746743545 4207090.100764276, -9336506.22962695 4207085.598683544, -9336513.688064853 4207085.598692306, -9336520.367266588 4207083.825144221, -9336525.487986812 4207083.006586056, -9336543.967030797 4207117.795638999, -9336544.96890663 4207119.705629382))",435,37,075,920300,37075920300,9203,Census Tract 9203,G5020,S,302958135,5587640,+35.2702395,-083.9567917,3
